Bebida,LinkImagen,Categoria,Tipo de Bebida,Tipo de Vaso,Medida1,Ingrediente1,Medida2,Ingrediente2,Medida3,Ingrediente3,Medida4,Ingrediente4,Medida5,Ingrediente5,Medida6,Ingrediente6
Casino,https://www.thecocktaildb.com/images/media/drink/1mvjxg1504348579.jpg,Ordinary Drink,Alcoholic,Cocktail glass,2 oz ,Gin,1/4 tsp ,Maraschino liqueur,1/4 tsp ,Lemon juice,2 dashes ,Orange bitters,1 ,Cherry,,
Caipirinha,https://www.thecocktaildb.com/images/media/drink/jgvn7p1582484435.jpg,Ordinary Drink,Alcoholic,Old-fashioned glass,2 tsp,Sugar,1 ,Lime,2 1/2 oz ,Cachaca,,,,,,
Cherry Rum,https://www.thecocktaildb.com/images/media/drink/twsuvr1441554424.jpg,Ordinary Drink,Alcoholic,Cocktail glass,1 1/4 oz ,Light rum,1 1/2 tsp ,Cherry brandy,1 tblsp ,Light cream,,,,,,
Cuba Libre,https://www.thecocktaildb.com/images/media/drink/uuxsrr1473201663.jpg,Ordinary Drink,Alcoholic,Highball glass,2 oz ,Light rum,Juice of 1/2 ,Lime,,Coca-Cola,,,,,,
Cuba Libra,https://www.thecocktaildb.com/images/media/drink/ck6d0p1504388696.jpg,Ordinary Drink,Alcoholic,Highball glass,1-2 shot ,Dark rum,Squeeze ,Lime,Fill with ,Coca-Cola,,Ice,,,,
Cafe Savoy,https://www.thecocktaildb.com/images/media/drink/vqwptt1441247711.jpg,Coffee / Tea,Alcoholic,Coffee mug,,Coffee,1/2 oz ,Milk,1/2 oz ,Triple sec,,Brandy,,,,
Cream Soda,https://www.thecocktaildb.com/images/media/drink/yqstxr1479209367.jpg,Cocktail,Alcoholic,Highball glass,1 oz ,Spiced rum,,Ginger ale,,,,,,,,
Corn n Oil,https://www.thecocktaildb.com/images/media/drink/pk6dwi1592767243.jpg,Cocktail,Alcoholic,Old-fashioned glass,1/2,Lime,1/3 oz,Falernum,2 dashes,Angostura Bitters,1 oz,Añejo rum,1 oz,blackstrap rum,,
Casa Blanca,https://www.thecocktaildb.com/images/media/drink/usspxq1441553762.jpg,Ordinary Drink,Alcoholic,Cocktail glass,2 oz ,Light rum,1 1/2 tsp ,Triple sec,1 1/2 tsp ,Lime juice,1 1/2 tsp ,Maraschino liqueur,,,,
Clover Club,https://www.thecocktaildb.com/images/media/drink/t0aja61504348715.jpg,Ordinary Drink,Alcoholic,Cocktail glass,1 1/2 oz ,Gin,2 tsp ,Grenadine,Juice of 1/2 ,Lemon,1 ,Egg white,,,,
Citrus Coke,https://www.thecocktaildb.com/images/media/drink/uyrvut1479473214.jpg,Soft Drink / Soda,Alcoholic,Highball Glass,1 part ,Bacardi Limon,2 parts ,Coca-Cola,,,,,,,,
Chicago Fizz,https://www.thecocktaildb.com/images/media/drink/qwvwqr1441207763.jpg,Ordinary Drink,Alcoholic,Highball glass,1 oz ,Light rum,1 oz ,Port,Juice of 1/2 ,Lemon,1 tsp ,Powdered sugar,1 ,Egg white,,Carbonated water
City Slicker,https://www.thecocktaildb.com/images/media/drink/dazdlg1504366949.jpg,Ordinary Drink,Alcoholic,Cocktail glass,2 oz ,Brandy,1/2 oz ,Triple sec,1 tblsp ,Lemon juice,,,,,,
Coffee-Vodka,https://www.thecocktaildb.com/images/media/drink/qvrrvu1472667494.jpg,Homemade Liqueur,Alcoholic,Collins Glass,2 cups ,Water,2 cups white ,Sugar,1/2 cup instant ,Coffee,1/2,Vanilla,1 1/2 cup,Vodka,,Caramel coloring
Caipirissima,https://www.thecocktaildb.com/images/media/drink/yd47111503565515.jpg,Ordinary Drink,Alcoholic,Collins Glass,2 ,Lime,2 tblsp ,Sugar,2-3 oz ,White rum,crushed ,Ice,,,,
Campari Beer,https://www.thecocktaildb.com/images/media/drink/xsqrup1441249130.jpg,Beer,Alcoholic,Beer mug,1 bottle ,Lager,1 1/2 cl ,Campari,,,,,,,,
Cosmopolitan,https://www.thecocktaildb.com/images/media/drink/kpsajh1504368362.jpg,Cocktail,Alcoholic,Cocktail glass,1 1/4 oz ,Absolut Citron,1/4 oz ,Lime juice,1/4 oz ,Cointreau,1/4 cup ,Cranberry juice,,,,
Casino Royale,https://www.thecocktaildb.com/images/media/drink/3qpv121504366699.jpg,Ordinary Drink,Alcoholic,Whiskey sour glass,2 oz ,Gin,1/2 oz ,Lemon juice,1 tsp ,Maraschino liqueur,1 dash ,Orange bitters,1 ,Egg yolk,,
Clove Cocktail,https://www.thecocktaildb.com/images/media/drink/qxvtst1461867579.jpg,Ordinary Drink,Alcoholic,Cocktail glass,1 oz ,Sweet Vermouth,1/2 oz ,Sloe gin,1/2 oz Muscatel ,Wine,,,,,,
Coffee Liqueur,https://www.thecocktaildb.com/images/media/drink/ryvtsu1441253851.jpg,Homemade Liqueur,Alcoholic,Collins Glass,10 tblsp instant ,Coffee,4 tblsp ,Vanilla extract,2 1/2 cups ,Sugar,1 qt ,Vodka,2 1/2 cups ,Water,,
Chocolate Milk,https://www.thecocktaildb.com/images/media/drink/j6q35t1504889399.jpg,Shot,Alcoholic,Shot Glass,1/2 shot ,Chocolate liqueur,1/2 shot ,Milk,1 dash ,Amaretto,,,,,,
Coke and Drops,https://www.thecocktaildb.com/images/media/drink/yrtxxp1472719367.jpg,Soft Drink / Soda,Non alcoholic,Cocktail glass,1 dl ,Coca-Cola,7 drops ,Lemon juice,,,,,,,,
Chocolate Drink,https://www.thecocktaildb.com/images/media/drink/q7w4xu1487603180.jpg,Cocoa,Non alcoholic,Coffee mug,125 gr,Chocolate,3/4 L ,Milk,,Water,,,,,,
Creme de Menthe,https://www.thecocktaildb.com/images/media/drink/yxswtp1441253918.jpg,Homemade Liqueur,Alcoholic,Collins Glass,8 cups ,Sugar,6 cups ,Water,1 pint ,Grain alcohol,1 oz pure ,Peppermint extract,1 tblsp green ,Food coloring,,
Cranberry Punch,https://www.thecocktaildb.com/images/media/drink/mzgaqu1504389248.jpg,Punch / Party Drink,Non alcoholic,Punch Bowl,4 cups ,Cranberry juice,1 1/2 cup ,Sugar,4 cups ,Pineapple juice,1 tblsp ,Almond flavoring,2 qt ,Ginger ale,,
