Bebida,Ingrediente1,Ingrediente2,Ingrediente3,Ingrediente4,Ingrediente5,Ingrediente6,Ingrediente7,Ingrediente8,Medida1,Medida2,Medida3,Medida4,Medida5,Medida6,Medida7,Medida8,linkImagen
Aloha Fruit punch,Water,Ginger,Guava juice,Lemon juice,Pineapple,Sugar,Pineapple juice,,3/4 cup,2 tsp,2 cups,1 1/2 tblsp,1 1/2 cup,1 cup,3-4 cups,,https://www.thecocktaildb.com/images/media/drink/wsyvrt1468876267.jpg
Amaretto And Cream,Amaretto,Light cream,,,,,,,1 1/2 oz,1 1/2 oz,,,,,,,https://www.thecocktaildb.com/images/media/drink/dj8n0r1504375018.jpg
Amaretto fizz,4 cl Amaretto,6 cl Orange Juice,15 cl White Wine,Garnish with Orange Peel,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/92h3jz1582474310.jpg
Amaretto Liqueur,1 cup Sugar,Water,Apricot,Almond flavoring,Grain alcohol,Water,Brandy,Food coloring,,3/4 cup,2,1 tblsp,1/2 cup pure,1/2 cup,1 cup,3 drops yellow,https://www.thecocktaildb.com/images/media/drink/swqxuv1472719649.jpg
Amaretto Mist,Amaretto,Lime,,,,,,,1 1/2 oz,1,,,,,,,https://www.thecocktaildb.com/images/media/drink/utpxxq1483388370.jpg
Amaretto Rose,Amaretto,Lime juice, Club soda,,,,,,1 1/2 oz,1/2 oz,,,,,,,https://www.thecocktaildb.com/images/media/drink/3jm41q1493069578.jpg
Amaretto Shake,Chocolate ice-cream,Brandy,Amaretto,,,,,,2 scoops,2 oz,2 oz,,,,,,https://www.thecocktaildb.com/images/media/drink/xk79al1493069655.jpg
Amaretto Sour,Amaretto,Sour mix,,,,,,,1 1/2 oz,3 oz,,,,,,,https://www.thecocktaildb.com/images/media/drink/xnzc541493070211.jpg
Amaretto Stinger,Amaretto,White Creme de Menthe,,,,,,,1 1/2 oz,3/4 oz,,,,,,,https://www.thecocktaildb.com/images/media/drink/vvop4w1493069934.jpg
Amaretto Stone Sour,Amaretto,Sour mix,Orange juice,,,,,,1 part,1 part,1 part,,,,,,https://www.thecocktaildb.com/images/media/drink/xwryyx1472719921.jpg
Amaretto Stone Sour #3,Sour mix,Amaretto,Tequila,Orange juice,,,,,2 oz,2 oz,2 oz,Add splash,,,,,https://www.thecocktaildb.com/images/media/drink/wutxqr1472720012.jpg
Amaretto Sunrise,Amaretto,Orange juice,Grenadine,,,,,,1 cl,4 oz,1/4 cl,,,,,,https://www.thecocktaildb.com/images/media/drink/akcpsh1493070267.jpg
Amaretto Sunset,Triple sec,Amaretto,Cider,Ice,,,,,1/2 jigger,3 shots,1/2 cup,Add 1/2 cup,,,,,https://www.thecocktaildb.com/images/media/drink/apictz1493069760.jpg
Amaretto Sweet & Sour, Amaretto, Sweet and sour, Midori melon liqueur, Pineapple juice,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/vswwus1472668546.jpg
Amaretto Tea,Tea,Amaretto,Whipped cream,,,,,,6 oz hot,2 oz,Chilled,,,,,,https://www.thecocktaildb.com/images/media/drink/b7qzo21493070167.jpg
